login,followers,created_at,location
michaelliao,37234,2010-11-06T12:21:35Z,"Beijing, China"
daimajia,24632,2012-10-07T02:40:06Z,"Beijing, China"
xiaolai,19238,2009-11-13T18:29:42Z,beijing
draveness,13009,2014-01-24T16:22:01Z,"Beijing, China"
hongyangAndroid,12985,2015-01-26T07:05:45Z,"Beijing,China"
haoel,12624,2011-08-30T14:05:18Z,Beijing
wizardforcel,9591,2013-07-24T09:40:02Z,"Beijing, China"
i5ting,9072,2012-12-24T23:28:15Z,china beijing
521xueweihan,8968,2014-07-24T10:16:33Z,"Beijing, China"
ityouknow,8779,2013-07-10T07:23:28Z,"beijing,china"
PKUFlyingPig,7356,2020-02-04T14:49:18Z,"Beijing, China"
singwhatiwanna,7345,2013-01-23T02:23:57Z,"Beijing, China"
tangqiaoboy,7175,2011-04-16T09:28:01Z,"Beijing, China"
gaoxiang12,6140,2014-02-10T04:13:51Z,"zhiyuan-robotics.com, Beijing"
liuhuanyong,5851,2016-09-30T04:26:26Z,"Beijing, China"
yanhaijing,5499,2013-01-05T09:56:18Z,"Beijing,China"
HcySunYang,5189,2015-09-06T07:30:47Z,"Beijing, China"
julycoding,5110,2013-12-14T11:15:16Z,"Beijing, China"
jindongwang,5008,2013-12-11T05:42:20Z,"Beijing, China"
rfyiamcool,4946,2013-03-06T09:15:50Z,China / BeiJing
Terry-Mao,4419,2012-04-10T02:55:54Z,"China, BeiJing"
chyyuu,4271,2012-08-01T12:47:07Z,"Beijing, China"
cch123,4202,2010-09-02T02:12:50Z,"Beijing, China, Singapore"
rootsongjc,3834,2013-01-21T11:21:31Z,"Beijing, China"
ymcui,3563,2015-12-01T06:27:33Z,"Beijing, China"
dongweiming,3355,2011-06-10T03:52:00Z,"Beijing, China"
zce,3313,2013-12-12T03:38:35Z,"Beijing, China"
wu-sheng,3313,2013-09-12T07:04:16Z,"Beijing(China), SF(US)"
sunnyxx,3308,2012-09-24T08:58:39Z,Beijing
wangfupeng1988,3056,2014-11-06T02:02:07Z,beijing
johnlui,2922,2012-08-10T06:29:21Z,"Beijing, China"
lilydjwg,2781,2010-10-15T11:29:51Z,"Beijing, China"
thunlp,2676,2016-04-11T03:50:34Z,"FIT Building, Tsinghua University, Beijing"
zhengmin1989,2642,2012-12-07T07:52:13Z,Beijing
baoyongzhang,2583,2013-06-07T04:15:52Z,"Beijing, China"
shenghy,2565,2014-11-25T03:27:24Z,BeiJing
wendux,2565,2016-07-12T03:33:28Z,China Beijing
polaris1119,2488,2011-07-07T03:48:05Z,"Beijing, China"
dexteryy,2449,2008-12-28T17:10:36Z,"Beijing, China"
lotem,2394,2009-11-10T08:08:27Z,"Beijing, China"
yangfuhai,2323,2012-03-15T09:36:23Z,beijing
hiyouga,2283,2015-12-11T14:43:24Z,"Beijing, China"
bennyhuo,2226,2014-01-07T06:47:49Z,Beijing
soulteary,2195,2012-03-04T23:12:34Z,"Beijing, China"
taowen,2122,2008-12-15T14:52:30Z,Beijing
Yixiaohan,2058,2012-03-06T10:20:17Z,"China,Beijing"
